RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       101770     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     8.973D-01  1.943D+01
    1    2     1     0  ---    0  6.4D-02  1.0D+00  8.257D-01  7.850D+00
    2    3     0     0  con    0  1.0D+00  1.5D+00  9.487D-02  4.282D+00
    3    4     0     0  con    0  1.0D+00  2.2D-01  8.887D-02  3.981D+00
    4    5     0     0  con    0  1.0D+00  9.5D-01  1.815D-01  3.562D+00
    5    6     0     0  con    0  1.0D+00  3.1D-01  4.095D-02  3.238D+00
    6    7     0     0  con    0  1.0D+00  3.7D-01  3.341D-02  2.980D+00
    7    8     0     0  con    0  1.0D+00  2.5D+00  1.525D-01  2.165D+00
    8    9     0     0  con    0  1.0D+00  1.6D+00  6.920D-02  1.844D+00
    9   10     0     0  con    0  1.0D+00  6.8D-01  4.226D-02  1.699D+00
   10   11     0     0  con    0  1.0D+00  1.7D+00  2.300D-02  1.535D+00
   11   12     0     0  con    0  1.0D+00  1.5D+00  3.281D-02  1.466D+00
   12   13     0     0  con    0  1.0D+00  1.2D+00  1.841D-02  1.415D+00
   13   14     0     0  con    0  1.0D+00  2.0D+00  2.251D-02  1.344D+00
   14   15     0     0  con    0  1.0D+00  2.6D+00  2.360D-02  1.301D+00
   15   16     0     0  con    0  1.0D+00  8.6D-01  1.255D-02  1.267D+00
   16   17     0     0  con    0  1.0D+00  2.0D+00  1.123D-02  1.215D+00
   17   18     0     0  con    0  1.0D+00  1.7D+00  1.303D-02  1.180D+00
   18   19     0     0  con    0  1.0D+00  3.1D+00  3.686D-02  1.150D+00
   19   20     0     0  con    0  1.0D+00  1.0D+00  1.013D-02  1.089D+00
   20   21     0     0  con    0  1.0D+00  1.0D+00  5.911D-03  1.062D+00
   21   22     0     0  con    0  1.0D+00  1.3D+00  8.282D-03  1.036D+00
   22   23     0     0  con    0  1.0D+00  1.9D+00  3.365D-02  1.019D+00
   23   24     0     0  con    0  1.0D+00  4.2D-01  8.272D-03  9.835D-01
   24   25     0     0  con    0  1.0D+00  8.0D-01  5.827D-03  9.569D-01
   25   26     0     0  con    0  1.0D+00  1.7D+00  1.062D-02  9.254D-01
   26   28     0     0  con    1  5.1D-01  1.7D+00  1.754D-02  9.087D-01
   27   29     0     0  con    0  1.0D+00  1.6D+00  7.885D-03  8.894D-01
   28   30     0     0  con    0  1.0D+00  2.8D+00  4.538D-03  8.631D-01
   29   31     0     0  con    0  1.0D+00  2.4D+00  7.271D-03  8.456D-01
   30   32     0     0  con    0  1.0D+00  2.3D+00  6.079D-03  8.297D-01
   31   33     0     0  con    0  1.0D+00  1.1D+00  5.512D-03  8.159D-01
   32   34     0     0  con    0  1.0D+00  2.1D+00  8.622D-03  7.975D-01
   33   35     0     0  con    0  1.0D+00  5.3D-01  6.294D-03  7.826D-01
   34   36     0     0  con    0  1.0D+00  1.2D+00  7.352D-03  7.580D-01
   35   37     0     0  con    0  1.0D+00  1.5D+00  7.596D-03  7.373D-01
   36   39     0     0  con    1  4.8D-01  1.4D+00  1.077D-02  7.235D-01
   37   40     0     0  con    0  1.0D+00  1.5D+00  4.759D-03  7.097D-01
   38   41     0     0  con    0  1.0D+00  2.2D+00  3.198D-03  6.925D-01
   39   42     0     0  con    0  1.0D+00  2.6D+00  1.318D-02  6.806D-01
   40   43     0     0  con    0  1.0D+00  7.5D-01  5.486D-03  6.581D-01
   41   44     0     0  con    0  1.0D+00  9.4D-01  3.051D-03  6.452D-01
   42   45     0     0  con    0  1.0D+00  1.5D+00  4.512D-03  6.318D-01
   43   46     0     0  con    0  1.0D+00  1.8D+00  1.161D-02  6.176D-01
   44   47     0     0  con    0  1.0D+00  1.8D+00  2.756D-03  6.022D-01
   45   48     0     0  con    0  1.0D+00  1.3D+00  2.800D-03  5.886D-01
   46   49     0     0  con    0  1.0D+00  1.5D+00  5.856D-03  5.773D-01
   47   50     0     0  con    0  1.0D+00  8.9D-01  3.990D-03  5.657D-01
   48   51     0     0  con    0  1.0D+00  8.4D-01  3.007D-03  5.552D-01

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 0.000E+00 seconds.

